model,accuracy,f1_macro
XGBoost,0.4689922480620155,0.25251721176860925
KNN,0.39147286821705424,0.2142790952031609
SGD,0.330749354005168,0.20421951072638686
DecisionTree,0.36304909560723514,0.1909993838257369
VotingEnsemble,0.43023255813953487,0.2412151903158177
